urlId,indicator
url-254,SuspiciousUrlLabel
url-254,InsecureHTTP
url-255,SuspiciousUrlLabel
url-255,InsecureHTTP
url-256,SuspiciousUrlLabel
url-256,InsecureHTTP
url-257,SuspiciousUrlLabel
url-258,SuspiciousUrlLabel
url-259,SuspiciousUrlLabel
url-260,SuspiciousUrlLabel
url-260,InsecureHTTP
url-261,SuspiciousUrlLabel
url-261,InsecureHTTP
url-262,SuspiciousUrlLabel
url-262,InsecureHTTP
url-263,SuspiciousUrlLabel
url-263,InsecureHTTP
url-264,SuspiciousUrlLabel
url-265,SuspiciousUrlLabel
url-265,InsecureHTTP
url-266,SuspiciousUrlLabel
url-266,InsecureHTTP
url-267,SuspiciousUrlLabel
url-268,SuspiciousUrlLabel
url-268,InsecureHTTP
url-269,SuspiciousUrlLabel
url-269,PaymentKeywordSignal
url-270,SuspiciousUrlLabel
url-271,SuspiciousUrlLabel
url-271,InsecureHTTP
url-272,SuspiciousUrlLabel
url-273,SuspiciousUrlLabel
url-273,PaymentKeywordSignal
url-274,SuspiciousUrlLabel
url-275,SuspiciousUrlLabel
url-275,InsecureHTTP
url-276,SuspiciousUrlLabel
url-277,SuspiciousUrlLabel
url-278,SuspiciousUrlLabel
url-279,SuspiciousUrlLabel
url-280,SuspiciousUrlLabel
url-280,InsecureHTTP
url-281,SuspiciousUrlLabel
url-282,SuspiciousUrlLabel
url-283,SuspiciousUrlLabel
url-283,InsecureHTTP
url-284,SuspiciousUrlLabel
url-285,SuspiciousUrlLabel
url-286,SuspiciousUrlLabel
url-286,InsecureHTTP
url-287,SuspiciousUrlLabel
url-287,InsecureHTTP
url-288,SuspiciousUrlLabel
url-288,InsecureHTTP
url-289,SuspiciousUrlLabel
url-289,InsecureHTTP
url-290,SuspiciousUrlLabel
url-290,InsecureHTTP
url-291,SuspiciousUrlLabel
url-291,InsecureHTTP
url-292,SuspiciousUrlLabel
url-292,InsecureHTTP
url-293,SuspiciousUrlLabel
url-293,InsecureHTTP
url-294,SuspiciousUrlLabel
url-294,InsecureHTTP
url-294,PaymentKeywordSignal
url-295,SuspiciousUrlLabel
url-295,InsecureHTTP
url-296,SuspiciousUrlLabel
url-297,SuspiciousUrlLabel
url-297,InsecureHTTP
url-298,SuspiciousUrlLabel
url-298,InsecureHTTP
url-299,SuspiciousUrlLabel
url-299,InsecureHTTP
url-300,SuspiciousUrlLabel
url-301,SuspiciousUrlLabel
url-302,SuspiciousUrlLabel
url-303,SuspiciousUrlLabel
url-303,InsecureHTTP
url-304,SuspiciousUrlLabel
url-304,PasswordInputSignal
url-304,PaymentKeywordSignal
url-305,SuspiciousUrlLabel
url-305,InsecureHTTP
url-306,SuspiciousUrlLabel
url-306,InsecureHTTP
url-307,SuspiciousUrlLabel
url-307,InsecureHTTP
url-308,SuspiciousUrlLabel
url-308,InsecureHTTP
url-309,SuspiciousUrlLabel
url-310,SuspiciousUrlLabel
url-310,InsecureHTTP
url-311,SuspiciousUrlLabel
url-311,InsecureHTTP
url-312,SuspiciousUrlLabel
url-312,InsecureHTTP
url-313,SuspiciousUrlLabel
url-313,InsecureHTTP
url-314,SuspiciousUrlLabel
url-314,InsecureHTTP
url-315,SuspiciousUrlLabel
url-315,InsecureHTTP
url-316,SuspiciousUrlLabel
url-316,InsecureHTTP
url-317,SuspiciousUrlLabel
url-317,InsecureHTTP
url-318,SuspiciousUrlLabel
url-318,InsecureHTTP
url-319,SuspiciousUrlLabel
url-320,SuspiciousUrlLabel
url-321,SuspiciousUrlLabel
url-321,InsecureHTTP
url-322,SuspiciousUrlLabel
url-322,InsecureHTTP
url-323,SuspiciousUrlLabel
url-323,InsecureHTTP
url-324,SuspiciousUrlLabel
url-325,SuspiciousUrlLabel
url-325,PasswordInputSignal
url-325,PaymentKeywordSignal
url-326,SuspiciousUrlLabel
url-326,InsecureHTTP
url-327,SuspiciousUrlLabel
url-327,InsecureHTTP
url-328,SuspiciousUrlLabel
url-328,InsecureHTTP
url-329,SuspiciousUrlLabel
url-329,InsecureHTTP
url-330,SuspiciousUrlLabel
url-330,InsecureHTTP
url-331,SuspiciousUrlLabel
url-331,InsecureHTTP
url-332,SuspiciousUrlLabel
url-333,SuspiciousUrlLabel
url-333,InsecureHTTP
url-334,SuspiciousUrlLabel
url-334,InsecureHTTP
url-335,SuspiciousUrlLabel
url-335,InsecureHTTP
url-336,SuspiciousUrlLabel
url-336,InsecureHTTP
url-337,SuspiciousUrlLabel
url-337,InsecureHTTP
url-338,SuspiciousUrlLabel
url-338,InsecureHTTP
url-339,SuspiciousUrlLabel
url-340,SuspiciousUrlLabel
url-340,InsecureHTTP
url-341,SuspiciousUrlLabel
url-342,SuspiciousUrlLabel
url-342,InsecureHTTP
url-343,SuspiciousUrlLabel
url-343,PaymentKeywordSignal
url-344,SuspiciousUrlLabel
url-344,InsecureHTTP
url-345,SuspiciousUrlLabel
url-345,InsecureHTTP
url-346,SuspiciousUrlLabel
url-347,SuspiciousUrlLabel
url-347,InsecureHTTP
url-348,SuspiciousUrlLabel
url-349,SuspiciousUrlLabel
url-350,SuspiciousUrlLabel
url-350,InsecureHTTP
url-351,SuspiciousUrlLabel
url-351,InsecureHTTP
url-352,SuspiciousUrlLabel
url-352,InsecureHTTP
url-353,SuspiciousUrlLabel
url-354,SuspiciousUrlLabel
url-355,SuspiciousUrlLabel
url-355,InsecureHTTP
url-356,SuspiciousUrlLabel
url-356,InsecureHTTP
url-357,SuspiciousUrlLabel
url-358,SuspiciousUrlLabel
url-359,SuspiciousUrlLabel
url-359,InsecureHTTP
url-360,SuspiciousUrlLabel
url-361,SuspiciousUrlLabel
url-362,SuspiciousUrlLabel
url-362,InsecureHTTP
url-363,SuspiciousUrlLabel
url-363,InsecureHTTP
url-364,SuspiciousUrlLabel
url-365,SuspiciousUrlLabel
url-366,SuspiciousUrlLabel
url-367,SuspiciousUrlLabel
url-367,InsecureHTTP
url-368,SuspiciousUrlLabel
url-368,InsecureHTTP
url-369,SuspiciousUrlLabel
url-370,SuspiciousUrlLabel
url-371,SuspiciousUrlLabel
url-371,InsecureHTTP
url-372,SuspiciousUrlLabel
url-372,InsecureHTTP
url-373,SuspiciousUrlLabel
url-373,InsecureHTTP
url-374,SuspiciousUrlLabel
url-374,InsecureHTTP
url-375,SuspiciousUrlLabel
url-375,InsecureHTTP
url-376,SuspiciousUrlLabel
url-376,InsecureHTTP
url-377,SuspiciousUrlLabel
url-377,InsecureHTTP
url-378,SuspiciousUrlLabel
url-378,InsecureHTTP
url-379,SuspiciousUrlLabel
url-380,SuspiciousUrlLabel
url-381,SuspiciousUrlLabel
url-382,SuspiciousUrlLabel
url-383,SuspiciousUrlLabel
url-383,InsecureHTTP
url-384,SuspiciousUrlLabel
url-385,SuspiciousUrlLabel
url-385,InsecureHTTP
url-386,SuspiciousUrlLabel
url-386,InsecureHTTP
url-387,SuspiciousUrlLabel
url-387,InsecureHTTP
url-388,SuspiciousUrlLabel
url-388,InsecureHTTP
url-389,SuspiciousUrlLabel
url-390,SuspiciousUrlLabel
url-390,InsecureHTTP
url-391,SuspiciousUrlLabel
url-392,SuspiciousUrlLabel
url-393,SuspiciousUrlLabel
url-394,SuspiciousUrlLabel
url-394,InsecureHTTP
url-395,SuspiciousUrlLabel
url-395,InsecureHTTP
url-396,SuspiciousUrlLabel
url-397,SuspiciousUrlLabel
url-398,SuspiciousUrlLabel
url-399,SuspiciousUrlLabel
url-400,SuspiciousUrlLabel
url-400,InsecureHTTP
